"Rank","Name","Symbol","employees_count","price (USD)","country"
"1","Toyota","TM","377369","244.3","Japan"
"2","NTT (Nippon Telegraph &amp; Telephone)","NPPXF","338651","1.145","Japan"
"3","Hitachi","6501.T","322525","91.5","Japan"
"4","Sumitomo Denki Kōgyō","5802.T","289191","15.37","Japan"
"5","Panasonic","6752.T","232527","9.19","Japan"
"6","Japan Post Holdings","6178.T","227369","9.94","Japan"
"7","Yamato Holdings","9064.T","210197","14.24","Japan"
"8","Honda","HMC","197039","37.005","Japan"
"9","NTT Data","9613.T","195106","15.36","Japan"
"10","Canon","7751.T","180775","29.21","Japan"
"11","Denso","6902.T","164572","19.01","Japan"
"12","Aeon","8267.T","160404","22.89","Japan"
"13","Mitsubishi Electric","6503.T","149655","16.02","Japan"
"14","Nissan","7201.T","131719","3.84","Japan"
"15","Bridgestone","5108.T","129262","43.66","Japan"
"16","Mitsubishi UFJ Financial","MUFG","127122","10.205","Japan"
"17","Fujitsu","6702.T","124055","16.25","Japan"
"18","NEC Corp","6701.T","118527","73.86","Japan"
"19","Aisin Seiki","7259.T","116649","39.28","Japan"
"20","Sony","SONY","113000","84.47","Japan"
"21","Itōchū Shōji","8001.T","110698","44.42","Japan"
"22","Nidec","6594.T","106592","40.25","Japan"
"23","Nippon Steel","5401.T","106068","23.71","Japan"
"24","Sumitomo Mitsui Financial Group","SMFG","106000","11.685","Japan"
"25","TDK","6762.T","102908","50.03","Japan"
"26","Daikin","6367.T","96337","132.5","Japan"
"27","MinebeaMitsumi","6479.T","87752","18.96","Japan"
"28","7-Eleven","3382.T","84154","14.21","Japan"
"29","Kyocera","6971.T","81209","12.88","Japan"
"30","Ricoh Company","7752.T","81017","9.03","Japan"
"31","Mitsubishi Heavy Industries","7011.T","76859","8.78","Japan"
"32","Toyota Industries","6201.T","74887","94.46","Japan"
"33","Fujifilm","4901.T","73878","22.35","Japan"
"34","Nippon Express","9147.T","73482","51.24","Japan"
"35","Murata Manufacturing (Murata Seisakusho)","6981.T","73164","18.02","Japan"
"36","Suzuki Motor","7269.T","70012","11.98","Japan"
"37","East Japan Railway","9020.T","69235","19.07","Japan"
"38","Dentsu","4324.T","69066","27.21","Japan"
"39","Mitsubishi Chemical Holdings","4188.T","68639","6.01","Japan"
"40","Toyota Tsusho","8015.T","66944","66.29","Japan"
"41","Secom","9735.T","65087","70.89","Japan"
"42","Komatsu","6301.T","64343","30.09","Japan"
"43","JFE Holdings","5411.T","64241","16.33","Japan"
"44","SoftBank","9984.T","63339","56.61","Japan"
"45","Dai-ichi Life Holdings","8750.T","60997","24.56","Japan"
"46","Fast Retailing","9983.T","59871","295.22","Japan"
"47","Recruit","6098.T","58493","44.52","Japan"
"48","AGC","5201.T","57609","36.72","Japan"
"49","Toppan","7911.T","53946","25","Japan"
"50","Japan Tobacco","2914.T","52640","26.98","Japan"
"51","Yamaha Motor","7272.T","52554","9.48","Japan"
"52","SG Holdings","9143.T","52268","12.55","Japan"
"53","Mizuho Financial Group","MFG","51212","3.92","Japan"
"54","Kubota","6326.T","50352","16.57","Japan"
"55","Daiwa House","1925.T","49768","29.48","Japan"
"56","KDDI","9433.T","49659","29","Japan"
"57","Takeda Pharmaceutical","TAK","49095","13.665","Japan"
"58","Sompo Holdings","8630.T","48956","21.03","Japan"
"59","Asahi Kasei","3407.T","48897","7.28","Japan"
"60","Toray Industries","3402.T","48682","4.85","Japan"
"61","Mazda","7261.T","48481","11.83","Japan"
"62","Mitsui Bussan","8031.T","46811","47.86","Japan"
"63","Sharp Corporation","6753.T","46200","5.43","Japan"
"64","West Japan Railway","9021.T","44897","20.31","Japan"
"65","ENEOS Holdings","5020.T","44617","4.88","Japan"
"66","Isuzu","7202.T","44495","13.71","Japan"
"67","Kintetsu GHD","9041.T","44079","29.03","Japan"
"68","Tokio Marine","8766.T","43217","31.62","Japan"
"69","ANA Holdings","9202.T","40507","20.32","Japan"
"70","ALSOK","2331.T","39039","5.49","Japan"
"71","MS&amp;AD Insurance","8725.T","38584","18.13","Japan"
"72","Subaru","7270.T","37521","23.14","Japan"
"73","Hoya","7741.T","36571","115.16","Japan"
"74","Dai Nippon Printing","7912.T","36246","30.02","Japan"
"75","Japan Airlines","9201.T","36039","18.74","Japan"
"76","Nippon Yūsen","9101.T","35502","26.98","Japan"
"77","Kaō","4452.T","35411","40.52","Japan"
"78","ORIX","IX","34737","106.9","Japan"
"79","Ajinomoto","2802.T","34615","36.93","Japan"
"80","TOTO","5332.T","34152","28.28","Japan"
"81","World Holdings","2429.T","34010","15.94","Japan"
"82","Nippon Paint","4612.T","33763","6.84","Japan"
"83","Sumitomo Chemical","4005.T","33572","2.3","Japan"
"84","Otsuka Holdings","4578.T","33482","41.27","Japan"
"85","Shiseido","4911.T","33414","26.94","Japan"
"86","Olympus","7733.T","32844","14.17","Japan"
"87","Rakuten","4755.T","32079","5.83","Japan"
"88","KEPCO","9503.T","31628","14.99","Japan"
"89","Kirin Holdings","2503.T","30538","14.19","Japan"
"90","Terumo","4543.T","30207","17.47","Japan"
"91","Asahi Group","2502.T","29920","36.74","Japan"
"92","Yakult","2267.T","29880","20.11","Japan"
"93","Central Japan Railway","9022.T","29854","24.18","Japan"
"94","Sekisui House","1928.T","29052","23.19","Japan"
"95","IHI Corporation","7013.T","28486","25.96","Japan"
"96","Mitsubishi Motors","7211.T","28428","3.26","Japan"
"97","Z Holdings","4689.T","28385","2.47","Japan"
"98","Chubu Electric Power","9502.T","28367","12.83","Japan"
"99","Meitetsu","9048.T","28216","14.01","Japan"
"100","Omron","6645.T","28034","34.93","Japan"
"101","TechnoPro Holdings","6028.T","27003","19.76","Japan"
"102","Sekisui Chemical","4204.T","26838","14.77","Japan"
"103","Nomura Holdings","NMR","26775","6.215","Japan"
"104","Nitto Denko","6988.T","26070","93.41","Japan"
"105","Shin-Etsu Chemical","4063.T","25652","40.76","Japan"
"106","Hitachi Construction Machinery","6305.T","25430","31.39","Japan"
"107","Tohoku Electric Power","9506.T","24528","7.89","Japan"
"108","Mitsui Fudosan","8801.T","24408","10.67","Japan"
"109","Tokyu","9005.T","23763","12.27","Japan"
"110","Rohm","6963.T","23743","16.01","Japan"
"111","SMC corp","6273.T","23489","558.13","Japan"
"112","Koito Manufacturing","7276.T","23488","15.34","Japan"
"113","Suntory","2587.T","23485","34.22","Japan"
"114","Sumitomo Mitsui Trust Holdings","8309.T","23094","21.44","Japan"
"115","Hankyu Hanshin Holdings","9042.T","22527","28.59","Japan"
"116","TIS","3626.T","21946","21.13","Japan"
"117","Taiyo Yuden","6976.T","21819","23.43","Japan"
"118","Tokyu Fudosan Holdings","3289.T","21614","7.83","Japan"
"119","Osaka Gas","9532.T","21017","21.81","Japan"
"120","Renesas Electronics","6723.T","20996","18.39","Japan"
"121","Sojitz Corporation","2768.T","20669","25.97","Japan"
"122","Yamaha","7951.T","20027","21.4","Japan"
"123","T&amp;D Holdings","8795.T","20016","17.43","Japan"
"124","Japan Post Insurance","7181.T","19776","19.42","Japan"
"125","Nippon Sanso","4091.T","19579","29.82","Japan"
"126","Kajima","1812.T","19396","19.94","Japan"
"127","Resona Holdings","8308.T","19283","6.35","Japan"
"128","Ebara Corporation","6361.T","19095","88.24","Japan"
"129","Nitori Holdings","9843.T","18909","157.75","Japan"
"130","Nikon","NINOY","18790","10.282","Japan"
"131","SBI Holdings","8473.T","18756","25.54","Japan"
"132","Tobu Railway","9001.T","18599","23.86","Japan"
"133","Makita","6586.T","18019","28.44","Japan"
"134","Daito Trust Construction","1878.T","17851","111.77","Japan"
"135","Daiichi Sankyō","4568.T","17435","30.75","Japan"
"136","Nomura Research Institute","4307.T","17394","27.4","Japan"
"137","Meiji Holdings","2269.T","17290","22.03","Japan"
"138","Tokyo Electron","8035.T","17204","247.9","Japan"
"139","Pan Pacific International Holdings","7532.T","17107","25.36","Japan"
"140","Kansai Paint","4613.T","16236","13.99","Japan"
"141","Unicharm","8113.T","16206","30.05","Japan"
"142","Tōkyō Gas","9531.T","15963","23.06","Japan"
"143","Obayashi","1802.T","15876","11.78","Japan"
"144","SCSK Corporation","9719.T","15328","18.57","Japan"
"145","TS TECH","7313.T","15267","13.15","Japan"
"146","Nissin Foods","2897.T","15227","26.83","Japan"
"147","Welcia Holdings","3141.T","14865","16.34","Japan"
"148","Daiwa Securities Group","8601.T","14731","7.51","Japan"
"149","Coca-Cola Bottlers Japan","2579.T","14484","14.48","Japan"
"150","Astellas Pharma","4503.T","14484","10.51","Japan"
"151","Idemitsu Kosan","5019.T","14363","6.98","Japan"
"152","MIRAIT ONE Corporation","1417.T","14350","12.67","Japan"
"153","Shimadzu","7701.T","13898","27.16","Japan"
"154","MatsukiyoCocokara","3088.T","13657","15.94","Japan"
"155","Iida Group","3291.T","13353","12.85","Japan"
"156","Yaskawa","6506.T","13094","40.31","Japan"
"157","Daifuku","6383.T","13020","22.84","Japan"
"158","Sumitomo Realty &amp; Development","8830.T","12957","37.41","Japan"
"159","Sanwa Holdings","5929.T","12773","17.54","Japan"
"160","Ibiden","4062.T","12744","41.68","Japan"
"161","Odakyu Electric Railway","9007.T","12629","12.71","Japan"
"162","Citizen Watch","7762.T","12256","6.89","Japan"
"163","Meiko Electronics","6787.T","11889","34.23","Japan"
"164","Japan Post Bank","7182.T","11807","10.46","Japan"
"165","MISUMI Group","9962.T","11804","14.79","Japan"
"166","Lawson","2651.T","11569","68.06","Japan"
"167","Shimano","7309.T","11364","145.87","Japan"
"168","Tsuruha Holdings","3391.T","11298","70.7","Japan"
"169","Rinnai Corporation","5947.T","11150","22.27","Japan"
"170","Eisai","4523.T","11076","40.28","Japan"
"171","Glory Ltd.","6457.T","10792","18.54","Japan"
"172","Mitsubishi Estate","8802.T","10655","18.73","Japan"
"173","Keyence","6861.T","10580","430.69","Japan"
"174","Toyo Tire","5105.T","10574","18.55","Japan"
"175","Bandai Namco","7832.T","10563","18.38","Japan"
"176","M3, Inc","2413.T","10533","13.52","Japan"
"177","Asahi Intecc","7747.T","10187","16.04","Japan"
"178","Nifco Inc.","7988.T","10169","25.3","Japan"
"179","Ryohin Keikaku","7453.T","10074","16.98","Japan"
"180","Isetan Mitsukoshi Holdings","3099.T","9745","16.03","Japan"
"181","CASIO","6952.T","9732","8.98","Japan"
"182","Sysmex","6869.T","9500","16.52","Japan"
"183","Fanuc","6954.T","9432","27.86","Japan"
"184","Nisshin Seifun Group","2002.T","9420","13.96","Japan"
"185","Otsuka","4768.T","9208","20.92","Japan"
"186","Oriental Land","4661.T","8945","31.08","Japan"
"187","ASICS Corporation","7936.T","8886","47.53","Japan"
"188","Taisho Pharmaceutical","4581.T","8784","56.48","Japan"
"189","Mitsui O.S.K. Lines","9104.T","8748","29.88","Japan"
"190","Sega Sammy Holdings","6460.T","8219","13.04","Japan"
"191","Kosé","4922.T","7940","50.96","Japan"
"192","Tokyo Century","8439.T","7878","10.61","Japan"
"193","Kikkoman","2801.T","7775","12.74","Japan"
"194","Chugai Pharmaceutical","4519.T","7771","35.51","Japan"
"195","Fukuoka Financial Group","8354.T","7765","26.3","Japan"
"196","Trend Micro","4704.T","7669","51.82","Japan"
"197","Lion Corp","4912.T","7587","9.01","Japan"
"198","Nexon","3659.T","7467","15.99","Japan"
"199","INFRONEER Holdings","5076.T","7421","9.37","Japan"
"200","Sumitomo Metal Mining","5713.T","7330","33.21","Japan"
"201","Nintendo","7974.T","7317","51.72","Japan"
"202","Rohto Pharmaceutical","4527.T","7176","19.34","Japan"
"203","Kokuyo","7984.T","6864","16.56","Japan"
"204","Sapporo","2501.T","6676","40.35","Japan"
"205","TODA corp","1860.T","6551","6.56","Japan"
"206","Advantest","6857.T","6544","39.28","Japan"
"207","CyberAgent","4751.T","6337","6.98","Japan"
"208","Sumitomo Pharma","4506.T","6250","2.69","Japan"
"209","ABC-Mart","2670.T","6120","19.35","Japan"
"210","Toho Gas","9533.T","6080","22.47","Japan"
"211","kyowa Kirin","4151.T","5982","17.36","Japan"
"212","Kadokawa","9468.T","5856","18.06","Japan"
"213","Shionogi","4507.T","5680","49.55","Japan"
"214","Adeka Corporation","4401.T","5494","21.84","Japan"
"215","Hamamatsu","6965.T","5491","35.18","Japan"
"216","Acom","8572.T","5333","2.64","Japan"
"217","COSMOS Pharmaceutical","3349.T","5290","90.54","Japan"
"218","Aica Kogyo Company","4206.T","4963","24.8","Japan"
"219","“K” Line","9107.T","4918","13.15","Japan"
"220","Konami Holdings","9766.T","4881","65.82","Japan"
"221","Toyo Suisan","2875.T","4745","59.02","Japan"
"222","Earth Corporation","4985.T","4727","28.04","Japan"
"223","Square Enix","9684.T","4712","36.94","Japan"
"224","Disco Corp.","6146.T","4553","369.01","Japan"
"225","Hikari Tsushin","9435.T","4488","179.17","Japan"
"226","BML, Inc.","4694.T","4415","19.28","Japan"
"227","Tokai Carbon","5301.T","4378","6.73","Japan"
"228","Chiba Bank","CHBAY","4292","37.04","Japan"
"229","SWCC Corporation","5805.T","4201","24.12","Japan"
"230","Santen Pharmaceutical","4536.T","4144","9.5","Japan"
"231","Mitsui High-tec","6966.T","4084","51.68","Japan"
"232","NOF Corporation","4403.T","3818","13.51","Japan"
"233","Pigeon","7956.T","3803","9.41","Japan"
"234","Ono Pharmaceutical","4528.T","3761","16.06","Japan"
"235","Inpex","1605.T","3364","16.19","Japan"
"236","Toho Co.","9602.T","3297","31.96","Japan"
"237","Capcom","9697.T","3207","18","Japan"
"238","Nitta Corporation","5186.T","2976","26.07","Japan"
"239","Nissan Chemical","4021.T","2965","37.15","Japan"
"240","DeNA","2432.T","2951","10.24","Japan"
"241","Pilot Corporation","7846.T","2707","27.53","Japan"
"242","KOBAYASHI Pharmaceutical","4967.T","2702","36.76","Japan"
"243","Sakata Seed","1377.T","2691","23.99","Japan"
"244","Fujimori Kogyo","7917.T","2585","28.57","Japan"
"245","Net One Systems","7518.T","2548","17.95","Japan"
"246","Toagosei","4045.T","2517","10.51","Japan"
"247","Japan Airport Terminal","9706.T","2499","37.32","Japan"
"248","Oracle Corp Japan","4716.T","2398","72.77","Japan"
"249","Koei Tecmo","3635.T","2381","10.63","Japan"
"250","McDonald's Japan","2702.T","2272","45.55","Japan"
"251","Computer Engineering &amp; Consulting","9692.T","2195","10.35","Japan"
"252","Nippon Shinyaku","4516.T","2186","28.71","Japan"
"253","KYORIN Pharmaceutical","4569.T","2138","11.98","Japan"
"254","Kyokuyo","1301.T","2112","24.19","Japan"
"255","Mercari","4385.T","2101","12.07","Japan"
"256","OBIC","4684.T","2082","141.42","Japan"
"257","Dexerials Corporation","4980.T","1943","39.02","Japan"
"258","Shinkin Central Bank","8421.T","1809","1735.14","Japan"
"259","Gree","3632.T","1610","3.15","Japan"
"260","Kobe Bussan","3038.T","1565","23.76","Japan"
"261","Mixi","2121.T","1556","17.15","Japan"
"262","ZOZO","3092.T","1555","24.32","Japan"
"263","Monex Group","8698.T","1491","5.94","Japan"
"264","Nakanishi","7716.T","1478","15.15","Japan"
"265","GungHo Online Entertainment","3765.T","1451","15.19","Japan"
"266","SRA Holdings","3817.T","1399","25.8","Japan"
"267","COLOPL","3668.T","1348","4.02","Japan"
"268","Hulic","3003.T","1347","9.84","Japan"
"269","Harmonic Drive Systems","6324.T","1324","26.23","Japan"
"270","Riken Keiki","7734.T","1313","23.89","Japan"
"271","Maruwa","5344.T","1309","226.77","Japan"
"272","Monotaro","3064.T","1275","11.57","Japan"
"273","Maruzen","5982.T","1274","19.23","Japan"
"274","Fujibo Holdings","3104.T","1273","28.11","Japan"
"275","Japan Exchange Group","8697.T","1238","27.71","Japan"
"276","Weathernews Inc.","4825.T","1138","32.48","Japan"
"277","J.S.B.Co.","3480.T","1123","17.4","Japan"
"278","Daiseki","9793.T","1114","21.39","Japan"
"279","YAKUODO HOLDINGS","7679.T","969","17.51","Japan"
"280","Digital Garage","4819.T","955","20.31","Japan"
"281","Happinet","7552.T","940","18.96","Japan"
"282","NJ Holdings","9421.T","922","4.15","Japan"
"283","Ateam","3662.T","872","4.23","Japan"
"284","Lasertec","6920.T","859","264.61","Japan"
"285","GMO Payment Gateway","3769.T","799","54.75","Japan"
"286","gumi","3903.T","798","2.63","Japan"
"287","Eiken Chemical","4549.T","754","13.15","Japan"
"288","PeptiDream","4587.T","704","10.01","Japan"
"289","AS ONE Corporation","7476.T","668","17.04","Japan"
"290","Marvelous","7844.T","638","4.54","Japan"
"291","Tose Software","4728.T","632","4.65","Japan"
"292","KLab","3656.T","628","2.06","Japan"
"293","Appirits","4174.T","598","7.98","Japan"
"294","Bushiroad","7803.T","590","2.43","Japan"
"295","Kayak Inc","3904.T","577","4.74","Japan"
"296","Aiming Inc","3911.T","566","1.49","Japan"
"297","Aeria","3758.T","536","2.32","Japan"
"298","Akatsuki Inc","3932.T","520","16.14","Japan"
"299","FuRyu","6238.T","507","8.21","Japan"
"300","CROOZ","2138.T","490","5.17","Japan"
"301","geechs","7060.T","473","3.52","Japan"
"302","OPTiM","3694.T","381","6.31","Japan"
"303","West Holdings","1407.T","375","17.94","Japan"
"304","Drecom","3793.T","368","6.92","Japan"
"305","Workman","7564.T","365","26.1","Japan"
"306","Akatsuki Corp.","8737.T","349","3.27","Japan"
"307","Mynet","3928.T","347","2.22","Japan"
"308","CyberStep","3810.T","342","1.78","Japan"
"309","Serverworks","4434.T","342","22.12","Japan"
"310","PLAID,Inc.","4165.T","337","4.39","Japan"
"311","coly","4175.T","330","6.22","Japan"
"312","Sun Corp","6736.T","302","22.41","Japan"
"313","UNITED","2497.T","266","5.63","Japan"
"314","Silicon Studio","3907.T","261","7.56","Japan"
"315","TENDA","4198.T","259","14.87","Japan"
"316","AltPlus","3672.T","235","0.87","Japan"
"317","Yuke's","4334.T","233","2.88","Japan"
"318","Nippon Ichi Software","3851.T","217","6.97","Japan"
"319","Voltage","3639.T","191","1.72","Japan"
"320","CAVE Interactive","3760.T","182","11.01","Japan"
"321","Bank of Innovation","4393.T","170","26.72","Japan"
"322","Imagineer","4644.T","135","6.46","Japan"
"323","Mobcast","3664.T","119","0.34","Japan"
"324","enish","3667.T","118","1.46","Japan"
"325","AlphaPolis","9467.T","114","13.01","Japan"
"326","Mobile Factory","3912.T","87","4.75","Japan"
"327","Edia","3935.T","84","2.46","Japan"
"328","Pixie Dust Technologies","PXDT","78","2.4","Japan"
"329","Lead Real Estate","LRE","62","4.0281","Japan"
"330","Nihon Falcom","3723.T","62","7.99","Japan"
"331","Gala Incorporated","4777.T","60","1.57","Japan"
"332","Axel Mark","3624.T","48","1.7","Japan"
"333","Earlyworks","ELWS","11","0.7","Japan"
"334","Warrantee Inc.","WRNT","1","0.4335","Japan"
"335","Marubeni","8002.T","0","17.32","Japan"
"336","Nippon Building Fund","8951.T","0","3982.39","Japan"
"337","Nomura Real Estate Master Fund","3462.T","0","982.76","Japan"
"338","Nippon Prologis REIT","3283.T","0","1729.21","Japan"
"339","GLP J-REIT","3281.T","0","820.17","Japan"
"340","AEON REIT Investment","3292.T","0","902.45","Japan"
"341","Sumitomo","8053.T","0","24.47","Japan"
"342","WonderPlanet","4199.T","0","7.9","Japan"
"343","Japan Real Estate Investment","8952.T","0","3541.36","Japan"
"344","SYLA Technologies","SYT","0","2.75","Japan"
"345","Mitsubishi Corporation","8058.T","0","23.18","Japan"
"346","Mitsui Fudosan Logistics Park","3471.T","0","2958.81","Japan"
